Y,X1,X2,X3
136666530,407,819,410
170380540,412,515,803
7227078,193,474,79
55311832,218,274,926
162239746,346,703,667
351647725,715,835,589
107984448,897,576,209
354977040,946,424,885
19963440,816,699,35
158417424,901,407,432
16923960,887,120,159
156172800,768,245,830
16061760,24,792,845
46105752,264,427,409
207522000,504,915,450
309331968,597,736,704
392984697,563,773,903
17689140,252,505,139
1452660,142,310,33
27045744,132,362,566
81979695,135,833,729
147987840,924,280,572
3219876,519,44,141
641317300,670,962,995
46009491,269,213,803
20642700,790,130,201
29283072,48,838,728
118203120,940,998,126
242295240,660,407,902
59556000,560,150,709
61298595,163,549,685
12464486,358,37,941
6949260,459,20,757
481073580,585,954,862
186713310,322,645,899
3460758,17,393,518
59438900,989,601,100
110424600,858,495,260
146251770,610,699,343
98555100,175,852,661
162976110,935,209,834
60769845,829,81,905
306315690,834,493,745
314082846,847,981,378
42078960,115,616,594
806169672,906,963,924
43849728,117,768,488
102636800,553,232,800
411056646,858,769,623
272372100,858,907,350
3164040,408,55,141
9661440,204,370,128
148982992,284,626,838
830784500,961,988,875
209368362,289,987,734
49354734,366,299,451
366666368,736,538,926
81222804,351,697,332
1701459,87,477,41
29803722,69,898,481
420706650,777,650,833
21954450,103,490,435
289163700,581,790,630
167589576,444,602,627
66061710,297,767,290
26076400,100,973,268
258299925,915,505,559
50953968,234,633,344
53239707,411,333,389
2401752,152,69,229
130678635,977,723,185
105439840,352,431,695
486246936,798,694,878
194028800,448,710,610
61107384,533,281,408
1530390,417,734,5
159859008,541,432,684
110372871,371,393,757
254212864,584,976,446
312268580,901,860,403
9773624,178,371,148
180216010,515,559,626
24751790,203,445,274
250558830,302,927,895
47723676,377,959,132
27036240,285,196,484
59873918,962,109,571
41315952,886,232,201
1620432,108,242,62
201774768,827,552,442
471648768,888,688,772
18542373,647,41,699
27227200,64,455,935
780372,18,818,53
119167816,298,514,778
6656688,54,811,152
180138024,348,726,713
129927317,631,337,611
663225102,738,953,943
44996112,911,56,882
402427740,806,510,979
118289808,714,234,708
254483528,548,674,689
30349528,88,353,977
58122830,697,155,538
84545370,806,999,105
175507320,255,758,908
16209600,614,440,60
94666896,849,303,368
2038200,790,860,3
6492312,233,162,172
265503700,574,841,550
8705340,196,235,189
496097160,974,653,780
21841600,584,100,374
66162096,891,364,204
161597314,487,502,661
1635095,31,385,137
36371312,284,202,634
51914808,236,303,726
104659752,276,587,646
42470610,130,329,993
207300526,601,551,626
114801650,358,635,505
693087915,807,949,905
23502213,63,389,959
127876840,172,910,817
90331276,358,538,469
25676651,227,791,143
1278774,63,51,398
312930000,915,912,375
505051096,653,968,799
2843379,373,9,847
227086275,823,283,975
132240108,286,763,606
397935153,831,691,693
44771220,494,855,106
340694136,948,673,534
150571400,821,280,655
40488976,902,362,124
57089518,382,199,751
34997600,451,160,485
173708739,411,933,453
10972912,164,172,389
21978752,58,764,496
18917184,52,689,528
182465400,390,785,596
146615184,522,747,376
111461094,841,398,333
91720420,502,755,242
54556600,392,475,293
664523080,878,820,923
117547164,574,279,734
71803710,183,410,957
1709512,686,14,178
205178688,576,611,583
65560092,663,838,118
294846525,555,535,993
170658160,920,274,677
19369800,918,50,422
71083908,252,413,683
222692976,738,792,381
4697784,14,956,351
138400692,978,818,173
2896360,515,703,8
24033100,973,65,380
34744464,747,51,912
284734590,735,469,826
149759352,678,237,932
197730000,600,338,975
28466955,165,439,393
3505232,296,382,31
1431360,30,213,224
156464392,958,532,307
37448541,261,849,169
14844624,48,779,397
6676296,121,418,132
11802186,111,594,179
6438600,10,657,980
42031098,321,278,471
113124996,981,508,227
110833380,269,756,545
196446060,487,498,810
7334456,292,661,38
4467528,222,559,36
100725120,670,216,696
12454678,631,139,142
246175848,822,846,354
478007376,566,924,914
27293760,729,80,468
329411096,973,838,404
21625632,102,631,336
206388468,468,517,853
24690960,213,280,414
90199200,700,708,182
136321776,466,612,478
81204768,486,236,708
737764452,954,866,893
194253906,707,759,362
11145744,102,942,116
71288000,268,500,532
6749028,253,27,988
121983320,745,194,844
16361100,343,60,795
155071800,270,940,611
100971840,538,920,204
40190976,534,224,336
51602157,97,549,969
12825076,506,437,58
116886814,946,157,787
28255920,847,120,278
1366534,13,338,311
46162116,196,297,793
414378900,975,993,428
70929000,270,284,925
1911420,28,205,333
137412140,970,193,734
182069932,391,836,557
545954400,900,764,794
101873660,553,604,305
136951430,847,703,230
185175652,958,761,254
360754520,860,722,581
258298464,752,786,437
2302020,174,70,189
170725581,261,751,871
1055904,647,408,4
16199040,192,767,110
263457108,309,939,908
433451876,923,821,572
17727664,719,92,268
86814000,780,530,210
215069580,745,324,891
1742565,59,895,33
18106182,894,43,471
81067035,337,395,609
11341668,299,218,174
108359680,814,640,208
305062140,807,410,922
30245628,489,329,188
40135884,492,97,841
25968962,358,251,289
16370112,92,528,337
182411460,428,693,615
43867376,233,574,328
25757160,247,110,948
120611712,192,962,653
132570432,144,963,956
53149131,453,453,259
66167920,149,488,910
709318830,957,830,893
10064340,110,391,234
33109524,222,318,469
42164736,97,768,566
102618804,124,887,933
41007525,307,685,195
408955000,625,712,919
268062902,799,542,619
5544900,404,75,183
176139976,593,856,347
107332128,486,344,642
9364454,22,817,521
276346911,947,633,461
73234048,232,436,724
305350,2,155,985
159381936,952,393,426
528051825,791,675,989
183468480,732,482,520
476392,2,329,724
130508,158,59,14
275464966,917,499,602
14405688,282,129,396
139790772,643,891,244
287616,28,321,32
3259500,15,410,530
55979980,172,547,595
18626328,679,108,254
3667312,622,22,268
58066560,160,593,612
131292756,588,849,263
49713400,550,118,766
30425544,282,148,729
274632540,895,364,843
563812752,732,799,964
59000625,617,765,125
48720,203,15,16
838500,86,250,39
43367760,696,670,93
267923040,616,659,660
34199100,148,325,711
4045860,546,190,39
89019516,641,284,489
33814485,111,345,883
66865592,388,199,866
572078376,842,729,932
162936000,240,730,930
151567920,366,986,420
75891200,392,968,200
2508744,42,274,218
69905880,635,792,139
13421484,18,823,906
147124575,281,895,585
254864720,484,565,932
972648,342,158,18
934650,25,93,402
136721556,318,786,547
191550736,806,487,488
12087948,82,474,311
45770184,664,999,69
4391432,38,334,346
30640428,141,273,796
683125688,971,739,952
140562072,978,177,812
54098226,273,981,202
164942520,381,790,548
361225672,776,851,547
27923340,86,474,685
584811,543,3,359
13451488,626,158,136
6098785,31,803,245
57001682,214,851,313
352283604,898,453,866
17227056,462,632,59
887700,50,807,22
16279241,473,271,127
60653412,159,498,766
611525264,916,844,791
231453429,317,771,947
426478752,752,643,882
3840540,484,345,23
223537956,706,934,339
266098152,652,542,753
31939380,849,570,66
31927500,750,90,473
379322076,889,961,444
191073056,424,452,997
95839793,199,643,749
224851096,739,521,584
42591520,248,620,277
28779212,451,212,301
107820750,233,750,617
107813184,986,544,201
545832432,927,752,783
488247760,871,572,980
115668504,282,798,514
113783772,538,606,349
30604047,929,139,237
2023272,136,19,783
6023880,580,577,18
24833468,106,506,463
208375470,342,807,755
363102388,493,881,836
35468160,728,210,232
251149248,378,864,769
63511830,909,510,137
65582284,166,787,502
176949300,645,580,473
92400120,423,254,860
10132688,673,941,16
66463353,391,303,561
3311168,778,266,16
7944825,409,259,75
209664,12,21,832
69097860,579,442,270
104129100,477,590,370
14483235,255,221,257
298098936,894,444,751
168256200,472,525,679
136921512,728,213,883
195739740,842,246,945
28133028,154,398,459
48177874,967,859,58
361848888,827,618,708
73221984,797,261,352
151030880,920,308,533
116174520,504,635,363
126218540,476,293,905
8208237,97,201,421
119042976,744,724,221
28544460,70,438,931
41080914,126,991,329
9785790,317,343,90
107798976,474,552,412
52310830,314,715,233
85158920,172,643,770
354213639,767,873,529
192909600,936,300,687
34730296,632,307,179
17802504,54,993,332
14578464,839,32,543
11282880,511,920,24
7999222,409,889,22
69038100,225,971,316
19401120,324,499,120
73626910,322,235,973
52853080,203,283,920
37520190,895,822,51
45561800,655,370,188
7095702,114,929,67
641686080,952,984,685
23886488,232,691,149
72507924,922,153,514
8183916,116,351,201
63975750,375,197,866
63842064,142,524,858
64409940,620,357,291
5677680,15,656,577
43229208,132,439,746
303717750,581,697,750
6593664,8,892,924
9130792,19,946,508
109182976,256,476,896
257853960,463,714,780
240681600,610,576,685
62724116,91,956,721
520680384,854,696,876
43774848,624,888,79
177688800,900,232,851
63203490,630,213,471
142556220,918,265,586
17653104,844,83,252
31340070,235,478,279
15747984,136,126,919
416983344,526,804,986
302284336,631,758,632
91753536,448,879,233
20872950,309,193,350
97575660,299,444,735
346549104,657,594,888
95727840,368,690,377
41640984,609,308,222
17656980,372,55,863
37446080,458,292,280
129081120,937,820,168
149311280,296,691,730
196504,308,58,11
10484964,972,469,23
48460048,401,208,581
32904010,122,835,323
495104400,885,720,777
144549504,366,968,408
349920,324,54,20
140108640,280,588,851
36226512,63,664,866
16197240,730,172,129
480928266,909,546,969
28021950,333,198,425
415102875,825,977,515
299024550,965,939,330
38586885,885,59,739
20992926,493,453,94
183899632,356,532,971
79116576,973,154,528
49569960,376,561,235
280899115,553,631,805
28130175,155,333,545
88949892,929,474,202
6071040,527,15,768
154192896,429,416,864
132524574,299,519,854
1025164,266,41,94
2600325,381,455,15
1888920,20,583,162
63689274,358,599,297
9847872,656,36,417
499601952,713,864,811
418079376,514,948,858
369331424,931,616,644
149799936,352,858,496
38892800,944,80,515
41543320,791,202,260
666420,383,60,29
177293085,285,851,731
95510340,570,174,963
14871900,557,60,445
390040,7,398,140
23419305,301,133,585
7592875,95,139,575
354270993,579,863,709
20304816,623,336,97
30332624,476,179,356
83520990,735,321,354
20141892,354,58,981
51252800,824,622,100
218144340,890,801,306
14690351,107,179,767
453446400,660,904,760
427749036,682,858,731
79291872,162,528,927
260471190,673,679,570
112363646,547,379,542
62039250,202,945,325
18041100,150,121,994
152592000,750,578,352
380376684,813,762,614
97790112,736,777,171
328657776,856,719,534
392624960,970,973,416
53794188,348,357,433
67171776,742,368,246
35700800,530,80,842
190344000,824,616,375
286698496,736,518,752
95096375,275,713,485
29855115,111,417,645
74644416,726,432,238
90581508,523,204,849
26177580,678,715,54
644553,787,21,39
26367799,541,799,61
91568400,991,700,132
99689480,479,430,484
48261668,188,403,637
41713056,627,462,144
62016,544,57,2
430467648,464,988,939
17950005,621,41,705
104103538,359,538,539
43353936,632,333,206
649727565,723,955,941
74306700,650,783,146
7083132,159,86,518
18838080,844,24,930
4671472,607,52,148
27136400,379,895,80
30856742,839,497,74
14520516,318,79,578
504798,101,102,49
185080656,582,626,508
125581500,885,430,330
28806976,83,704,493
138675680,290,484,988
147524859,499,921,321
36424872,226,484,333
162893952,624,596,438
101587770,751,835,162
1090908,63,333,52
200505024,992,591,342
188842080,840,518,434
103409262,242,601,711
27189855,627,49,885
189769488,593,339,944
10431136,797,409,32
38014380,404,153,615
6253764,292,121,177
77228250,110,925,759
109896475,845,185,703
44658600,150,343,868
107930655,861,411,305
121907590,746,245,667
476643519,639,913,817
108302884,548,769,257
65382876,741,258,342
123117408,486,892,284
854667,33,267,97
33340800,400,453,184
49417368,429,238,484
673591296,764,984,896
9368496,344,801,34
431390,482,895,1
117380500,575,865,236
55955380,241,611,380
63495663,77,969,851
127190000,400,395,805
222515117,341,883,739
1152305,451,365,7
318804600,719,600,739
149541090,489,577,530
24625920,660,106,352
16542360,255,72,901
22950480,719,60,532
113644388,493,286,806
180426330,753,490,489
25659650,470,179,305
304204680,461,780,846
40226306,211,346,551
213948,6,42,849
349000512,532,948,692
58825440,890,486,136
3651912,106,87,396
918540,21,108,405
149569560,980,278,549
144827760,340,924,461
142791372,397,618,582
185534430,779,934,255
190236816,817,924,252
36063456,923,88,444
29462400,288,660,155
248890500,475,820,639
10199376,264,822,47
64982240,316,265,776
165270699,739,891,251
30638760,690,653,68
397336056,691,988,582
167777760,680,348,709
254790228,631,532,759
124645950,429,447,650
15870400,182,436,200
103291272,261,518,764
57811446,742,99,787
244781460,870,319,882
101724873,971,141,743
206926335,915,267,847
215566002,983,393,558
44862660,162,306,905
88676420,629,532,265
356334426,678,863,609
250222704,437,948,604
10224375,285,287,125
8123220,614,15,882
107340870,455,861,274
3286920,52,602,105
282737344,964,368,797
183024684,774,783,302
19540160,80,538,454
415050405,685,903,671
48222720,840,208,276
282282,94,21,143
148016160,810,243,752
3591250,338,17,625
63682308,279,827,276
22563328,127,256,694
12601290,818,237,65
6919596,822,183,46
168710400,290,909,640
68943550,410,169,995
132863263,983,481,281
123197640,524,255,922
206309625,311,915,725
345114,42,99,83
64501632,177,876,416
53369600,992,100,538
29501430,141,305,686
7261560,12,877,690
249546546,479,618,843
35380774,383,374,247
180481554,366,879,561
4637952,549,33,256
49102188,102,626,769
19121310,295,78,831
153129438,374,603,679
4357080,91,95,504
70928550,267,330,805
204514794,561,387,942
34784400,150,287,808
57891980,284,691,295
86693600,904,140,685
128862720,480,336,799
114831936,327,472,744
69893370,555,139,906
18095035,89,259,785
242194064,497,532,916
108722718,663,453,362
12586620,606,155,134
726649140,917,940,843
108383360,796,296,460
132820800,670,240,826
21658392,877,504,49
764256,838,4,228
234349440,624,820,458
333582648,757,854,516
261916500,500,849,617
251144704,512,499,983
25880324,106,731,334
167027676,654,922,277
108630144,228,709,672
148009680,378,502,780
265281156,762,567,614
491807232,948,579,896
411325200,748,705,780
283690680,455,626,996
1267068,662,58,33
212981967,891,731,327
164333850,345,545,874
6739964,277,28,869
54555648,944,448,129
370873344,928,543,736
82760400,388,395,540
252908208,784,657,491
60763066,479,442,287
121406805,923,185,711
128397152,208,841,734
196074840,481,790,516
19382400,90,673,320
72727302,899,834,97
102208400,865,211,560
97596600,790,174,710
483133664,632,793,964
16144737,941,43,399
5785500,406,114,125
3390208,38,656,136
53194650,201,335,790
16178400,300,856,63
385400,47,820,10
495090156,869,788,723
17576784,414,116,366
13763904,154,133,672
484324800,820,642,920
480516085,707,905,751
100707096,372,317,854
373322880,896,591,705
471989808,709,804,828
63120990,879,167,430
31080600,557,93,600
6383200,404,100,158
13086440,380,257,134
36373120,353,640,161
397437570,915,531,818
86380440,615,388,362
297536036,343,947,916
164006370,699,395,594
635040,112,27,210
182032620,385,961,492
283347155,497,637,895
91411264,412,784,283
69452040,280,267,929
261580620,579,461,980
343645640,674,740,689
286683360,354,955,848
18692190,239,474,165
217609504,973,482,464
141991200,888,390,410
37400710,185,271,746
7265286,763,69,138
150988383,939,247,651
119196413,349,503,679
296566692,678,851,514
308116490,610,977,517
21291648,672,178,178
58790550,118,511,975
97013700,810,203,590
209085030,534,693,565
6584400,90,620,118
3280844,881,4,931
123165000,510,750,322
20708992,124,307,544
5668425,59,915,105
180131464,298,866,698
55040832,803,136,504
7584984,314,44,549
55090880,779,340,208
290919272,574,787,644
252280,7,680,53
81475152,939,464,187
123800440,430,334,862
7758153,207,403,93
433527250,775,845,662
961848,146,244,27
54652950,671,181,450
57791041,289,343,583
62965980,462,295,462
3790000,80,379,125
90565398,947,161,594
94644000,528,239,750
3777516,356,131,81
56439180,237,980,243
2040381,699,139,21
1029300,3,365,940
689967520,880,878,893
230953344,516,568,788
38764085,157,437,565
1394996,514,59,46
28594000,116,850,290
348540000,628,888,625
629640,159,120,33
720040461,937,989,777
3957426,79,414,121
106083230,781,235,578
149023810,503,530,559
50679980,421,463,260
189898368,528,536,671
2088423,531,437,9
155564392,587,844,314
400656,68,12,491
9721920,984,760,13
169764985,565,797,377
96233910,521,655,282
32574048,516,104,607
318963134,922,511,677
13986756,324,49,881
53003025,149,425,837
17962020,222,899,90
152896828,521,329,892
13136472,54,244,997
49613256,456,231,471
2921440,124,310,76
20887384,469,76,586
43524,78,62,9
95652252,666,202,711
170959046,926,529,349
300564,414,1,726
336250776,634,687,772
34298420,247,212,655
76607076,961,273,292
74414862,159,642,729
215393880,645,338,988
108502654,239,494,919
328516500,991,340,975
134854200,565,540,442
8436216,527,232,69
48762208,253,608,317
53301000,545,652,150
5539359,381,67,217
12310044,201,251,244
52640896,872,686,88
320599120,664,530,911
41574960,219,452,420
41654886,713,642,91
3895344,568,9,762
45821160,812,190,297
6606336,264,46,544
73309488,497,439,336
337344392,703,574,836
45002925,121,783,475
581665248,848,719,954
47094726,51,994,929
25844352,68,444,856
28865655,171,637,265
11796480,768,480,32
41786948,562,329,226
48760316,902,179,302
5533262,347,34,469
15031318,109,191,722
66591567,641,679,153
48330552,251,568,339
292200480,585,726,688
216549360,536,670,603
114714198,837,278,493
299689317,883,387,877
676628475,969,901,775
24991890,77,349,930
8754966,99,102,867
81768140,670,439,278
1210400,340,178,20
28753140,260,191,579
18944900,767,950,26
114537552,526,633,344
6201156,313,127,156
89488850,850,187,563
57328128,522,704,156
8210850,402,475,43
20655162,402,173,297
15030960,69,280,778
107078400,260,576,715
61808600,833,212,350
115560270,890,189,687
10819200,230,960,49
171388560,578,840,353
31795500,375,164,517
4414938,66,443,151
554064300,755,972,755
117666528,276,662,644
16723590,939,65,274
521071200,912,650,879
87369541,311,469,599
5702,792,4910
15630,9233,6397
10353,9257,1096
11995,2030,9965
8588,3146,5442
9546,468,9078
6884,85,6799
4386,2224,2162
7167,3577,3590
12100,8872,3228
15702,8155,7547
10942,8401,2541
5498,4574,924
8424,3861,4563
2525,502,2023
9481,2372,7109
13466,7224,6242
14778,6258,8520
8578,5577,3001
13493,5972,7521
9121,5722,3399
19551,9580,9971
8452,5274,3178
18283,9839,8444
9573,4597,4976
12184,4518,7666
15706,7833,7873
10896,2838,8058
7876,5336,2540
9752,1163,8589
8260,5381,2879
14840,5789,9051
7070,2029,5041
4130,2162,1968
13821,7539,6282
13407,7489,5918
13142,5152,7990
5311,4213,1098
17068,9737,7331
16307,8394,7913
11024,5758,5266
3601,321,3280
5841,1001,4840
9963,3928,6035
6893,6008,885
15553,9889,5664
3886,193,3693
13388,8128,5260
17591,9301,8290
11884,6793,5091
8429,7944,485
15490,7270,8220
18805,9795,9010
4852,3658,1194
13292,9264,4028
8662,4057,4605
7258,6538,720
6390,545,5845
7559,6258,1301
6617,1838,4779
8231,5431,2800
18137,8459,9678
9918,3373,6545
16291,9600,6691
16382,8977,7405
3891,2942,949
12182,6291,5891
12563,5538,7025
12269,4073,8196
11245,2766,8479
6117,2344,3773
12509,6589,5920
13364,6998,6366
8994,6965,2029
13678,5419,8259
8648,6224,2424
14138,6527,7611
13530,8784,4746
13481,8585,4896
9751,8601,1150
14043,7750,6293
17539,7857,9682
15713,6685,9028
3851,419,3432
2019,1674,345
7462,862,6600
6897,256,6641
3711,3242,469
10470,4792,5678
12730,4251,8479
3387,2656,731
12922,6030,6892
16032,7994,8038
3455,1476,1979
13169,6482,6687
12086,9720,2366
4507,2072,2435
12461,8922,3539
1720,1208,512
18864,9331,9533
15011,5262,9749
13011,8530,4481
4434,33,4401
13146,9777,3369
15595,8800,6795
15079,6298,8781
6367,489,5878
12821,8443,4378
9368,6457,2911
10881,9721,1160
18069,9774,8295
3141,2786,355
5352,4646,706
10842,6680,4162
19128,9170,9958
16720,6851,9869
11968,5141,6827
12569,9038,3531
12198,8637,3561
5198,2692,2506
5628,5578,50
13964,8765,5199
7109,5584,1525
3697,3623,74
12991,3606,9385
13009,9694,3315
11217,8254,2963
7715,6111,1604
13040,8658,4382
10533,2555,7978
17345,8898,8447
14566,4769,9797
16422,8385,8037
4780,1304,3476
18545,8668,9877
7427,5799,1628
4016,2274,1742
18198,9875,8323
13343,5964,7379
8970,6566,2404
5907,3073,2834
9950,3469,6481
10864,4764,6100
14223,6280,7943
5477,2542,2935
9660,1463,8197
15923,7550,8373
9566,3599,5967
13528,6586,6942
1931,837,1094
9748,5522,4226
5020,2736,2284
6804,2506,4298
9956,6358,3598
8036,7842,194
14361,6996,7365
16010,7600,8410
14710,9645,5065
3024,423,2601
12923,4917,8006
14596,8603,5993
11254,8345,2909
9242,7250,1992
11984,7786,4198
12192,8203,3989
11878,7853,4025
14035,4288,9747
5854,1931,3923
14038,8136,5902
16869,7093,9776
2222,820,1402
10464,6207,4257
8443,2826,5617
3547,1090,2457
6087,1345,4742
16032,7467,8565
10977,6842,4135
12916,3881,9035
3618,3495,123
13319,8162,5157
7784,7520,264
6087,3949,2138
532,459,73
7862,644,7218
2986,2125,861
10818,5594,5224
13173,6244,6929
6292,3028,3264
9610,4944,4666
9887,6589,3298
9441,8852,589
2399,228,2171
8634,2391,6243
12063,6689,5374
2368,279,2089
11145,2146,8999
6087,195,5892
6043,3499,2544
7872,2709,5163
16683,8362,8321
9053,5315,3738
15027,6428,8599
13622,5618,8004
12701,5904,6797
13270,4859,8411
5129,4205,924
12843,7355,5488
2672,495,2177
10202,7316,2886
12927,4424,8503
7669,3649,4020
10882,3658,7224
5591,4756,835
12805,3518,9287
15697,9688,6009
5286,5178,108
4958,3321,1637
10571,7294,3277
5511,4178,1333
8338,6586,1752
16305,6720,9585
17151,7475,9676
17369,9129,8240
6507,4872,1635
5285,5128,157
293,232,61
8911,8141,770
9396,6734,2662
13648,5082,8566
12496,3318,9178
13525,3563,9962
17128,9943,7185
1230,386,844
5198,1235,3963
13300,3893,9407
14446,6622,7824
3951,1292,2659
12724,9668,3056
5411,3927,1484
16753,8983,7770
2397,270,2127
8956,2968,5988
7720,3282,4438
9676,3480,6196
9178,2885,6293
7524,5213,2311
7035,603,6432
12006,6910,5096
7324,3507,3817
8664,6608,2056
9773,3103,6670
5582,5022,560
12692,5247,7445
18405,9022,9383
12934,8153,4781
13513,7230,6283
10536,2606,7930
9625,2315,7310
18399,9196,9203
9834,6836,2998
11842,9240,2602
4874,4758,116
4950,4472,478
